THE    DH_IY
BROOKE    B_R R_UH UH_K
BROODS    B_R R_UW UW_D D_Z
BROKENLY    B_R R_AO AO_UH UH_K K_AH AH_N N_L L_IY
BREWERY    B_R R_UW UW_UH UH_R R_IY
BREEDERS    B_R R_IY IY_D D_UH UH_R R_Z
BREECH    B_R R_IY IY_CH
BREAKER    B_R R_EH EH_IY IY_K K_UH UH_R
BRANDISHING    B_R R_AE AE_N N_D D_IH IH_SH SH_IH IH_NG
BOWLED    B_AO AO_UH UH_L L_D
BOURGEOISIE    B_UH UH_R R_ZH ZH_W W_AA AA_Z Z_IY
BOTANIST    B_AA AA_T T_AH AH_N N_IH IH_S S_T
BORGIA    B_AO AO_R R_JH JH_AH
BOOTHS    B_UW UW_TH TH_S
BOMB    B_AO AO_M
BOMA    B_AO AO_UH UH_M M_AH
BOLTON    B_AO AO_UH UH_L L_T T_AH AH_N
BLUNTLY    B_L L_AH AH_N N_T T_L L_IY
BLOATED    B_L L_AO AO_UH UH_T T_IH IH_D
BLAZES    B_L L_EH EH_IY IY_Z Z_IH IH_Z
BLACKSTONE    B_L L_AE AE_K K_S S_T T_AO AO_UH UH_N
BLACKBERRIES    B_L L_AE AE_K K_B B_EH EH_R R_IY IY_Z
BISCAY    B_IH IH_S S_K K_EH EH_IY
BIRTHRIGHT    B_UH UH_R R_TH TH_R R_AA AA_IY IY_T
BIOLOGICAL    B_AA AA_IY IY_AH AH_L L_AA AA_JH JH_IH IH_K K_AH AH_L
BINGHAM    B_IH IH_NG NG_AH AH_M
BILLIONS    B_IH IH_L L_Y Y_AH AH_N N_Z
BIGOTRY    B_IH IH_G G_AH AH_T T_R R_IY
BIGOTED    B_IH IH_G G_AH AH_T T_IH IH_D
BEVERAGES    B_EH EH_V V_R R_IH IH_JH JH_IH IH_Z
BETS    B_EH EH_T T_S
BETHEL    B_EH EH_TH TH_EH EH_L
BELL'S    B_EH EH_L L_Z
BELLOWED    B_EH EH_L L_AO AO_UH UH_D
BELLE'S    B_EH EH_L L_Z
BELINDA    B_AH AH_L L_IH IH_N N_D D_AH
BEGS    B_EH EH_G G_Z
BEGOTTEN    B_IY IY_G G_AO AO_T T_IH IH_N
BEFRIENDED    B_IH IH_F F_R R_EH EH_N N_D D_IH IH_D
BECHE    B_EH EH_K
BEAUFORT    B_AO AO_UH UH_F F_UH UH_R R_T
BEATITUDE    B_IY IY_T T_IH IH_T T_UW UW_D
BEAR'S    B_EH EH_R R_Z
BEAKS    B_IY IY_K K_S
BATTLING    B_AE AE_T T_L L_IH IH_NG
BASTE    B_EH EH_IY IY_S S_T
BASTARD    B_AE AE_S S_T T_UH UH_R R_D
BASLE    B_AE AE_S S_AH AH_L
BASKING    B_AE AE_S S_K K_IH IH_NG
BARTRAM    B_AA AA_R R_T T_R R_AE AE_M
BARRING    B_AA AA_R R_IH IH_NG
BARNES    B_AA AA_R R_N N_Z
BARGAINS    B_AA AA_R R_G G_IH IH_N N_Z
BARBARISM    B_AA AA_R R_B B_UH UH_R R_IH IH_Z Z_AH AH_M
BANISTERS    B_AE AE_N N_IH IH_S S_T T_UH UH_R R_Z
BANISHING    B_AE AE_N N_IH IH_SH SH_IH IH_NG
BANION    B_AE AE_N N_Y Y_AH AH_N
BANGS    B_AE AE_NG NG_Z
BANE    B_EH EH_IY IY_N
BANDAGED    B_AE AE_N N_D D_AH AH_JH JH_D
AXIOMS    AE_K K_S S_IY IY_AH AH_M M_Z
AWNING    AA_N N_IH IH_NG
AVOW    AH_V V_AA AA_UH
AVEBURY    AA_V V_EH EH_IY IY_B B_EH EH_R R_IY
AUTOBIOGRAPHY    AO_T T_AH AH_B B_AA AA_IY IY_AA AA_G G_R R_AH AH_F F_IY
AUTHORITATIVE    AH_TH TH_AO AO_R R_AH AH_T T_EH EH_IY IY_T T_IH IH_V
AUSTEN    AO_S S_T T_IH IH_N
AUREX    UH_R R_AH AH_K K_S
AUDIBLY    AA_D D_AH AH_B B_L L_IY
ATTAINMENTS    AH_T T_EH EH_IY IY_N N_M M_AH AH_N N_T T_S
ATTAINABLE    AH_T T_EH EH_IY IY_N N_AH AH_B B_AH AH_L
ATROPINE    EH_IY IY_T T_R R_AH AH_P P_AA AA_IY IY_N
ASTRONOMERS    AH_S S_T T_R R_AA AA_N N_AH AH_M M_UH UH_R R_Z
ASTIR    AH_S S_T T_IH IH_R
ASSYRIANS    AH_S S_IH IH_R R_IY IY_AH AH_N N_Z
ASSET    AE_S S_EH EH_T
ASPARAGUS    AH_S S_P P_EH EH_R R_AH AH_G G_AH AH_S
ASCENSION    AH_S S_EH EH_N N_SH SH_AH AH_N
ASCENDENCY    AH_S S_EH EH_N N_D D_AH AH_N N_S S_IY
ASCENDANT    AH_S S_EH EH_N N_D D_AH AH_N N_T
ARTISAN    AA_R R_T T_AH AH_Z Z_AH AH_N
ARROYO    UH_R R_AO AO_IY IY_AO AO_UH
ARMCHAIRS    AA_R R_M M_CH CH_EH EH_R R_Z
ARISTOCRATS    UH_R R_IH IH_S S_T T_AH AH_K K_R R_AE AE_T T_S
ARGUES    AA_R R_G G_Y Y_UW UW_Z
ARCHITECTS    AA_R R_K K_AH AH_T T_EH EH_K K_T T_S
ARBITRATION    AA_R R_B B_IH IH_T T_R R_EH EH_IY IY_SH SH_AH AH_N
APTLY    AE_P P_T T_L L_IY
APPRENTICESHIP    AH_P P_R R_EH EH_N N_T T_AH AH_S S_SH SH_IH IH_P
APPRECIATING    AH_P P_R R_IY IY_SH SH_IY IY_EH EH_IY IY_T T_IH IH_NG
APPLAUD    AH_P P_L L_AO AO_D
APPELLATIONS    AE_P P_AH AH_L L_EH EH_IY IY_SH SH_AH AH_N N_Z
APPEASE    AH_P P_IY IY_Z
APOSTROPHE    AH_P P_AA AA_S S_T T_R R_AH AH_F F_IY
APOPLEXY    AE_P P_AH AH_P P_L L_EH EH_K K_S S_IY
APOLOGIZING    AH_P P_AA AA_L L_AH AH_JH JH_AA AA_IY IY_Z Z_IH IH_NG
ANYBODY'S    EH_N N_IY IY_B B_AH AH_D D_IY IY_Z
ANVIL    AE_N N_V V_AH AH_L
ANTON    AE_N N_T T_AO AO_N
ANTITHESIS    AE_N N_T T_IH IH_TH TH_AH AH_S S_AH AH_S
ANTIPATER'S    AE_N N_T T_IH IH_P P_AH AH_T T_UH UH_R R_Z
ANTIETAM    AE_N N_T T_IY IY_EH EH_T T_AH AH_M
ANTERIOR    AE_N N_T T_IH IH_R R_IY IY_UH UH_R
ANSELL    AE_N N_S S_EH EH_L
ANNEX    AH_N N_EH EH_K K_S
ANNA'S    AE_N N_AH AH_Z
ANCHOVIES    AE_N N_CH CH_AO AO_UH UH_V V_IY IY_Z
ANATOMY    AH_N N_AE AE_T T_AH AH_M M_IY
AMPLITUDE    AE_M M_P P_L L_AH AH_T T_UW UW_D
ALLUDES    AH_L L_UW UW_D D_Z
ALLSPICE    AO_L L_S S_P P_AA AA_IY IY_S
ALLOY    AE_L L_AO AO_IY
ALLEGORICAL    AE_L L_AH AH_G G_AO AO_R R_AH AH_K K_AH AH_L
ALKALINE    AE_L L_K K_AH AH_L L_AA AA_IY IY_N
ALIAS    EH_IY IY_L L_IY IY_AH AH_S
ALERTNESS    AH_L L_UH UH_R R_T T_N N_AH AH_S
ALBATROSS    AE_L L_B B_AH AH_T T_R R_AA AA_S
ALARMS    AH_L L_AA AA_R R_M M_Z
AIRSHIPS    EH_R R_SH SH_IH IH_P P_S
AINT    EH_IY IY_N N_T
AILING    EH_IY IY_L L_IH IH_NG
AFRICANS    AE_F F_R R_IH IH_K K_AH AH_N N_Z
AFIRE    AH_F F_AA AA_IY IY_R
ADVOCATING    AE_D D_V V_AH AH_K K_EH EH_IY IY_T T_IH IH_NG
ADVERTISER    AE_D D_V V_UH UH_R R_T T_AA AA_IY IY_Z Z_UH UH_R
ADHERENCE    AH_D D_HH HH_IH IH_R R_AH AH_N N_S
ADELAIDE    AE_D D_AH AH_L L_EH EH_IY IY_D
ACRID    AE_K K_R R_IH IH_D
ACIDULATED    AE_S S_AH AH_D D_AH AH_L L_EH EH_IY IY_T T_IH IH_D
ACCUSER    AH_K K_Y Y_UW UW_Z Z_UH UH_R
ACCUMULATE    AH_K K_Y Y_UW UW_M M_Y Y_AH AH_L L_EH EH_IY IY_T
ACCOMPLICES    AH_K K_AA AA_M M_P P_L L_AH AH_S S_AH AH_Z
ACCOMMODATED    AH_K K_AA AA_M M_AH AH_D D_EH EH_IY IY_T T_AH AH_D
ACCLAMATION    AE_K K_L L_AH AH_M M_EH EH_IY IY_SH SH_AH AH_N
ABSOLUTION    AE_B B_S S_AH AH_L L_UW UW_SH SH_AH AH_N
ABORTIVE    AH_B B_AO AO_R R_T T_IH IH_V
ABEYANCE    AH_B B_EH EH_IY IY_AH AH_N N_S
ABD    AE_B B_D
ZENA    Z_IY IY_N N_AH
YOURE    Y_UH UH_R
YOLETTA    Y_AO AO_UH UH_L L_EH EH_T T_AH
YEOMAN    Y_AO AO_UH UH_M M_AH AH_N
YENGEESE    Y_EH EH_N N_JH JH_IY IY_Z
YELP    Y_EH EH_L L_P
YEE    Y_IY
YAS    Y_AA AA_S
WYNDHAM'S    W_IH IH_N N_D D_AH AH_M M_Z
WRIGGLE    R_IH IH_G G_AH AH_L
WRENT    R_EH EH_N N_T
WRECKS    R_EH EH_K K_S
WRAITH    R_EH EH_IY IY_TH
WORSHIPPER    W_UH UH_R R_SH SH_AH AH_P P_UH UH_R
WORDSWORTH    W_UH UH_R R_D D_Z Z_W W_UH UH_R R_TH
WOOD'S    W_UH UH_D D_Z
WOODHULL    W_UH UH_D D_HH HH_AH AH_L
WOODCOCK    W_UH UH_D D_K K_AA AA_K
WOO    W_UW
WOLF'S    W_UH UH_L L_F F_S
WOLFE'S    W_UH UH_L L_F F_S
WOFUL    W_AO AO_UH UH_F F_AH AH_L
WOEFULLY    W_AO AO_UH UH_F F_AH AH_L L_IY
WOEFUL    W_AO AO_UH UH_F F_AH AH_L
WINNINGS    W_IH IH_N N_IH IH_NG NG_Z
WINGFIELD    W_IH IH_NG NG_F F_IY IY_L L_D
WIGS    W_IH IH_G G_Z
WIDOWHOOD    W_IH IH_D D_AO AO_UH UH_HH HH_UH UH_D
WIDEST    W_AA AA_IY IY_D D_AH AH_S S_T
WHITENED    HH_W W_AA AA_IY IY_T T_AH AH_N N_D
WHITBY    W_IH IH_T T_B B_IY
WHIR    W_UH UH_R
WHIMPER    W_IH IH_M M_P P_UH UH_R
WHEW    W_UW
WERNER'S    W_UH UH_R R_N N_UH UH_R R_Z
WELLAND    W_EH EH_L L_AH AH_N N_D
WEDLOCK    W_EH EH_D D_L L_AA AA_K
WEBBED    W_EH EH_B B_D
WEALTHIER    W_EH EH_L L_TH TH_IY IY_UH UH_R
WEAKEST    W_IY IY_K K_AH AH_S S_T
WATSON'S    W_AA AA_T T_S S_AH AH_N N_Z
WATKINS    W_AA AA_T T_K K_IH IH_N N_Z
WATERWORKS    W_AO AO_T T_UH UH_R R_W W_UH UH_R R_K K_S
WATERFOWL    W_AO AO_T T_UH UH_R R_F F_AA AA_UH UH_L
WAT    W_AO AO_T
WASHERWOMAN    W_AA AA_SH SH_UH UH_R R_W W_UH UH_M M_AH AH_N
WARR    W_AO AO_R
WARDROBES    W_AO AO_R R_D D_R R_AO AO_UH UH_B B_Z
WARDER    W_AO AO_R R_D D_UH UH_R
WARDENS    W_AO AO_R R_D D_AH AH_N N_Z
WARBLING    W_AO AO_R R_B B_L L_IH IH_NG
WAPOOTA    W_AO AO_P P_UW UW_T T_AH
WA'N'T    W_AO AO_AH AH_N N_T
WANG    W_AE AE_NG
WALDRON'S    W_AO AO_L L_D D_R R_AA AA_N N_Z
WALCOT    W_AO AO_L L_K K_AA AA_T
WAKEFULNESS    W_EH EH_IY IY_K K_F F_AH AH_L L_N N_AH AH_S
WAIN    W_EH EH_IY IY_N
WAFTED    W_AA AA_F F_T T_IH IH_D
WADDLING    W_AA AA_D D_AH AH_L L_IH IH_NG
VOWELS    V_AA AA_UH UH_L L_Z
VOUCHSAFE    V_AA AA_UH UH_CH CH_S S_EH EH_IY IY_F
VOMITED    V_AA AA_M M_AH AH_T T_AH AH_D
VIZIR    V_IY IY_Z Z_IH IH_R
VIVACIOUS    V_AH AH_V V_EH EH_IY IY_SH SH_AH AH_S
VITRIOL    V_IH IH_T T_R R_IY IY_AH AH_L
VITALLY    V_AA AA_IY IY_T T_AH AH_L L_IY
VISIBILITY    V_IH IH_Z Z_AH AH_B B_IH IH_L L_IH IH_T T_IY
VIRGINIAN    V_UH UH_R R_JH JH_IH IH_N N_Y Y_AH AH_N
VINEYARD    V_IH IH_N N_Y Y_UH UH_R R_D
VIKING    V_AA AA_IY IY_K K_IH IH_NG
VIGILS    V_IH IH_JH JH_AH AH_L L_Z
VIDA    V_AA AA_IY IY_D D_AH
VENOUS    V_IY IY_N N_AH AH_S
VENGEFUL    V_EH EH_N N_JH JH_F F_AH AH_L
VARIEGATED    V_EH EH_R R_IH IH_G G_EH EH_IY IY_T T_AH AH_D
VAPID    V_AE AE_P P_IH IH_D
VANKA    V_AE AE_NG NG_K K_AH
VANITIES    V_AE AE_N N_AH AH_T T_IY IY_Z
VANES    V_EH EH_IY IY_N N_Z
VALENTINIAN    V_AA AA_L L_EH EH_N N_T T_IY IY_N N_IY IY_AH AH_N
USUFRUCT    Y_UW UW_ZH ZH_F F_R R_AH AH_K K_T
URUNDI    UH_R R_AH AH_N N_D D_IY
UPSETTING    AH_P P_S S_EH EH_T T_IH IH_NG
UNWELL    AH_N N_W W_EH EH_L
UNWEARIED    AH_N N_W W_IH IH_R R_IY IY_D
UNWASHED    AH_N N_W W_AA AA_SH SH_T
UNVEILED    AH_N N_V V_EH EH_IY IY_L L_D
UNUTTERABLE    AH_N N_AH AH_T T_UH UH_R R_AH AH_B B_AH AH_L
UNTAMED    AH_N N_T T_EH EH_IY IY_M M_D
UNSUSPICIOUS    AH_N N_S S_AH AH_S S_P P_IH IH_SH SH_AH AH_S
UNSOLVED    AH_N N_S S_AA AA_L L_V V_D
UNSIGHTLY    AH_N N_S S_AA AA_IY IY_T T_L L_IY
UNSEASONABLE    AH_N N_S S_IY IY_Z Z_AH AH_N N_AH AH_B B_AH AH_L
UNSATISFIED    AH_N N_S S_AE AE_T T_IH IH_S S_F F_AA AA_IY IY_D
UNRIVALLED    AH_N N_R R_AA AA_IY IY_V V_AH AH_L L_D
UNRESPONSIVE    AH_N N_R R_IY IY_S S_P P_AA AA_N N_S S_IH IH_V
UNRESERVEDLY    AH_N N_R R_IY IY_Z Z_UH UH_R R_V V_AH AH_D D_L L_IY
UNQUESTIONED    AH_N N_K K_W W_EH EH_S S_CH CH_AH AH_N N_D
UNQUALIFIED    AH_N N_K K_W W_AA AA_L L_IH IH_F F_AA AA_IY IY_D
UNPUNISHED    AH_N N_P P_AH AH_N N_IH IH_SH SH_T
UNPREMEDITATED    AH_N N_P P_R R_IY IY_M M_EH EH_D D_AH AH_T T_EH EH_IY IY_T T_IH IH_D
UNPLEASING    AH_N N_P P_L L_EH EH_Z Z_IH IH_NG
UNNAMED    AH_N N_N N_EH EH_IY IY_M M_D
UNLOOKED    AH_N N_L L_UH UH_K K_T
UNLOCK    AH_N N_L L_AA AA_K
UNINTENTIONALLY    AH_N N_IH IH_N N_T T_EH EH_N N_SH SH_N N_AH AH_L L_IY
UNINITIATED    AH_N N_IY IY_N N_IH IH_SH SH_IY IY_EH EH_IY IY_T T_IH IH_D
UNGRATEFULLY    AH_N N_G G_R R_EH EH_IY IY_T T_F F_AH AH_L L_IY
UNGRACIOUSLY    AH_N N_G G_R R_EH EH_IY IY_SH SH_AH AH_S S_L L_IY
UNFLINCHING    AH_N N_F F_L L_IH IH_N N_CH CH_IH IH_NG
UNEARTHED    AH_N N_UH UH_R R_TH TH_T
UNDUTIFUL    AH_N N_D D_UW UW_T T_IY IY_F F_AH AH_L
UNDISTINGUISHED    AH_N N_D D_IH IH_S S_T T_IH IH_NG NG_G G_W W_IH IH_SH SH_T
UNDISPUTED    AH_N N_D D_IH IH_S S_P P_Y Y_UW UW_T T_IH IH_D
UNDERTAKES    AH_N N_D D_UH UH_R R_T T_EH EH_IY IY_K K_S
UNDERMINED    AH_N N_D D_UH UH_R R_M M_AA AA_IY IY_N N_D
UNDERGRADUATE    AH_N N_D D_UH UH_R R_G G_R R_AE AE_JH JH_AH AH_W W_AH AH_T
UNDEFINABLE    AH_N N_D D_IH IH_F F_AA AA_IY IY_N N_AH AH_B B_AH AH_L
UNCONDITIONALLY    AH_N N_K K_AH AH_N N_D D_IH IH_SH SH_N N_AH AH_L L_IY
UNCONCERN    AH_N N_K K_AH AH_N N_S S_UH UH_R R_N
UNCHARITABLE    AH_N N_K K_EH EH_R R_AH AH_T T_AH AH_B B_AH AH_L
UNCHALLENGED    AH_N N_CH CH_AE AE_L L_IH IH_N N_JH JH_D
UNASSISTED    AH_N N_AH AH_S S_IH IH_S S_T T_IH IH_D
UNANSWERED    AH_N N_AE AE_N N_S S_UH UH_R R_D
UNALTERED    AH_N N_AO AO_L L_T T_UH UH_R R_D
ULTRA    AH_L L_T T_R R_AH
TWIRLED    T_W W_UH UH_R R_L L_D
TWERE    T_W W_UH UH_R
TURRETS    T_UH UH_R R_AH AH_T T_S
TURNPIKE    T_UH UH_R R_N N_P P_AA AA_IY IY_K
TRUSTEES    T_R R_AH AH_S S_T T_IY IY_Z
TRUMPETED    T_R R_AH AH_M M_P P_AH AH_T T_IH IH_D
TROTWOOD    T_R R_AA AA_T T_W W_UH UH_D
TROOPERS    T_R R_UW UW_P P_UH UH_R R_Z
TRITE    T_R R_AA AA_IY IY_T
TRIPOD    T_R R_AA AA_IY IY_P P_AA AA_D
TRIBUNALS    T_R R_AA AA_IY IY_B B_Y Y_UW UW_N N_AH AH_L L_Z
TRENTON    T_R R_EH EH_N N_T T_AH AH_N
TRANSLUCENT    T_R R_AE AE_N N_S S_L L_UW UW_S S_AH AH_N N_T
TRANSITORY    T_R R_AE AE_N N_Z Z_AH AH_T T_AO AO_R R_IY
TRANSFERENCE    T_R R_AE AE_N N_S S_F F_UH UH_R R_AH AH_N N_S
TRAINER    T_R R_EH EH_IY IY_N N_UH UH_R
TRADER'S    T_R R_EH EH_IY IY_D D_UH UH_R R_Z
TRACTABLE    T_R R_AE AE_K K_T T_AH AH_B B_AH AH_L
TOWNSPEOPLE    T_AA AA_UH UH_N N_Z Z_P P_IY IY_P P_AH AH_L
TOPSY    T_AA AA_P P_S S_IY
TOPSAIL    T_AA AA_P P_S S_EH EH_IY IY_L
TONY'S    T_AO AO_UH UH_N N_IY IY_Z
TOLLIVER    T_AO AO_UH UH_L L_IH IH_V V_UH UH_R
TOILSOME    T_AO AO_IY IY_L L_S S_AH AH_M
TITLED    T_AA AA_IY IY_T T_AH AH_L L_D
TITANIC    T_AA AA_IY IY_T T_AE AE_N N_IH IH_K
TIRING    T_AA AA_IY IY_R R_IH IH_NG
TINK    T_IH IH_NG NG_K
TINGLED    T_IH IH_NG NG_G G_AH AH_L L_D
TINGLE    T_IH IH_NG NG_G G_AH AH_L
TILTING    T_IH IH_L L_T T_IH IH_NG
TILDA    T_IH IH_L L_D D_AH
TIGHTEN    T_AA AA_IY IY_T T_AH AH_N
THUNDERSTRUCK    TH_AH AH_N N_D D_UH UH_R R_S S_T T_R R_AH AH_K
THUNDERS    TH_AH AH_N N_D D_UH UH_R R_Z
THROBS    TH_R R_AA AA_B B_Z
THROATED    TH_R R_AO AO_UH UH_T T_IH IH_D
THRIVE    TH_R R_AA AA_IY IY_V
THREES    TH_R R_IY IY_Z
THRALL    TH_R R_AO AO_L
THRACIAN    TH_R R_EH EH_IY IY_SH SH_AH AH_N
THOUGHTLESSNESS    TH_AO AO_T T_L L_AH AH_S S_N N_AH AH_S
THOROUGHFARES    TH_UH UH_R R_AO AO_UH UH_F F_EH EH_R R_Z
THORNTON'S    TH_AO AO_R R_N N_T T_AH AH_N N_Z
THORNDYKE    TH_AO AO_R R_N N_D D_AA AA_IY IY_K
THOMPSON'S    T_AA AA_M M_S S_AH AH_N N_Z
THISTLES    TH_IH IH_S S_AH AH_L L_Z
THIRSTING    TH_UH UH_R R_S S_T T_IH IH_NG
THIBET    TH_IH IH_B B_IH IH_T
THEORETICALLY    TH_IY IY_UH UH_R R_EH EH_T T_IH IH_K K_L L_IY
THEODORIC    TH_IY IY_AH AH_D D_UH UH_R R_IH IH_K
TESTIMONIES    T_EH EH_S S_T T_AH AH_M M_AO AO_UH UH_N N_IY IY_Z
TESTIFYING    T_EH EH_S S_T T_AH AH_F F_AA AA_IY IY_IH IH_NG
TERRACED    T_EH EH_R R_AH AH_S S_T
TENTATIVE    T_EH EH_N N_T T_AH AH_T T_IH IH_V
TEMPTS    T_EH EH_M M_P P_T T_S
TEEPEE    T_IY IY_P P_IY
TEENS    T_IY IY_N N_Z
TEDDY'S    T_EH EH_D D_IY IY_Z
TECHNICALLY    T_EH EH_K K_N N_IH IH_K K_L L_IY
TEARFULLY    T_IH IH_R R_F F_AH AH_L L_IY
TAVERNS    T_AE AE_V V_UH UH_R R_N N_Z
TAUNTS    T_AO AO_N N_T T_S
TAU    T_AA AA_UH
TASSELS    T_AE AE_S S_AH AH_L L_Z
TASSEL    T_AE AE_S S_AH AH_L
TARZAN'S    T_AA AA_R R_Z Z_AH AH_N N_Z
TARDILY    T_AA AA_R R_D D_AH AH_L L_IY
TANGLEY    T_AE AE_NG NG_G G_L L_IY
TAM    T_AE AE_M
TAKIN    T_EH EH_IY IY_K K_IH IH_N
TAFFY    T_AE AE_F F_IY
TABLESPOONS    T_EH EH_IY IY_B B_AH AH_L L_S S_P P_UW UW_N N_Z
SYRACUSAN    S_IH IH_R R_AH AH_K K_Y Y_UW UW_Z Z_AH AH_N
SYMPATHIZING    S_IH IH_M M_P P_AH AH_TH TH_AA AA_IY IY_Z Z_IH IH_NG
SYMPATHISE    S_IH IH_M M_P P_AH AH_TH TH_AA AA_IY IY_Z
SYMMETRY    S_IH IH_M M_AH AH_T T_R R_IY
SWINDLED    S_W W_IH IH_N N_D D_AH AH_L L_D
SWEETBREADS    S_W W_IY IY_T T_B B_R R_EH EH_D D_Z
SWEATED    S_W W_EH EH_T T_IH IH_D
SWEARS    S_W W_EH EH_R R_Z
SWAINS    S_W W_EH EH_IY IY_N N_Z
SWAGGER    S_W W_AE AE_G G_UH UH_R
SUSSEX    S_AH AH_S S_IH IH_K K_S
SURNAME    S_UH UH_R R_N N_EH EH_IY IY_M
SUR    S_UH UH_R
SUPPING    S_AH AH_P P_IH IH_NG
SUPPED    S_AH AH_P P_T
SUPERINTENDING    S_UW UW_P P_UH UH_R R_IH IH_N N_T T_EH EH_N N_D D_IH IH_NG
SUPERINTENDENCE    S_UW UW_P P_UH UH_R R_IH IH_N N_T T_EH EH_N N_D D_AH AH_N N_S
SUMPTUOUSLY    S_AH AH_M M_P P_CH CH_W W_AH AH_S S_L L_IY
SULLIVAN    S_AH AH_L L_IH IH_V V_AH AH_N
SUITABLY    S_UW UW_T T_AH AH_B B_L L_IY
SUFFRAGIST    S_AH AH_F F_R R_AH AH_JH JH_IH IH_S S_T
SUFFRAGES    S_AH AH_F F_R R_AH AH_JH JH_AH AH_Z
SUDS    S_AH AH_D D_Z
SUCKLING    S_AH AH_K K_L L_IH IH_NG
SUCKLE    S_AH AH_K K_AH AH_L
SUBTERFUGE    S_AH AH_B B_T T_UH UH_R R_F F_Y Y_UW UW_JH
SUBSISTING    S_AH AH_B B_S S_IH IH_S S_T T_IH IH_NG
SUBSIDE    S_AH AH_B B_S S_AA AA_IY IY_D
SUBMERGENCE    S_AH AH_B B_M M_UH UH_R R_JH JH_AH AH_N N_S
SUBMARINES    S_AH AH_B B_M M_UH UH_R R_IY IY_N N_Z
SUBDUING    S_AH AH_B B_D D_UW UW_IH IH_NG
SUAVITY    S_W W_AA AA_V V_IH IH_T T_IY
STYX    S_T T_IH IH_K K_S
STYLISH    S_T T_AA AA_IY IY_L L_IH IH_SH
STURGIS    S_T T_UH UH_R R_JH JH_IH IH_S
STURDILY    S_T T_UH UH_R R_D D_AH AH_L L_IY
STUPIDER    S_T T_UW UW_P P_IH IH_D D_UH UH_R
STUMPED    S_T T_AH AH_M M_P P_T
STUBBY    S_T T_AH AH_B B_IY
STRIPLING    S_T T_R R_IH IH_P P_L L_IH IH_NG
STRICTNESS    S_T T_R R_IH IH_K K_T T_N N_AH AH_S
STREW    S_T T_R R_UW
STRENGTHENS    S_T T_R R_EH EH_NG NG_TH TH_AH AH_N N_Z
STOLID    S_T T_AA AA_L L_AH AH_D
STOIC    S_T T_AO AO_UH UH_IH IH_K
STIPULATED    S_T T_IH IH_P P_Y Y_AH AH_L L_EH EH_IY IY_T T_IH IH_D
STINTED    S_T T_IH IH_N N_T T_IH IH_D
STIMULATES    S_T T_IH IH_M M_Y Y_AH AH_L L_EH EH_IY IY_T T_S
STILTED    S_T T_IH IH_L L_T T_IH IH_D
STEWARDS    S_T T_UW UW_UH UH_R R_D D_Z
STERILE    S_T T_EH EH_R R_AH AH_L
STEEPS    S_T T_IY IY_P P_S
STAVE    S_T T_EH EH_IY IY_V
STAPLES    S_T T_EH EH_IY IY_P P_AH AH_L L_Z
STAMFORD    S_T T_AE AE_M M_F F_UH UH_R R_D
SQUEAKY    S_K K_W W_IY IY_K K_IY
SQUALL    S_K K_W W_AO AO_L
SPUTTERING    S_P P_AH AH_T T_UH UH_R R_IH IH_NG
SPURTED    S_P P_UH UH_R R_T T_IH IH_D
SPROUTED    S_P P_R R_AA AA_UH UH_T T_IH IH_D
SPRINGY    S_P P_R R_IH IH_NG NG_IY
SPLASHES    S_P P_L L_AE AE_SH SH_IH IH_Z
SPINSTER    S_P P_IH IH_N N_S S_T T_UH UH_R
SPIKE    S_P P_AA AA_IY IY_K
SPENCER'S    S_P P_EH EH_N N_S S_UH UH_R R_Z
SPECTACULAR    S_P P_EH EH_K K_T T_AE AE_K K_Y Y_AH AH_L L_UH UH_R
SPECIFY    S_P P_EH EH_S S_AH AH_F F_AA AA_IY
SPARTAN    S_P P_AA AA_R R_T T_AH AH_N
SOUVENIR    S_UW UW_V V_AH AH_N N_IH IH_R
SOUTHWESTERN    S_AA AA_UH UH_TH TH_W W_EH EH_S S_T T_UH UH_R R_N
SOUTHARD    S_AA AA_UH UH_TH TH_UH UH_R R_D
SOURLY    S_AA AA_UH UH_R R_L L_IY
SOULLESS    S_AO AO_UH UH_L L_L L_AH AH_S
SONOMA    S_AH AH_N N_AO AO_UH UH_M M_AH
SOMNAMBULIST    S_AA AA_M M_N N_AE AE_M M_B B_Y Y_AH AH_L L_IH IH_S S_T
SOMBRERO    S_AA AA_M M_B B_R R_EH EH_R R_AO AO_UH
SOFAS    S_AO AO_UH UH_F F_AH AH_Z
SOBRIETY    S_AH AH_B B_R R_AA AA_IY IY_AH AH_T T_IY
SNUFFED    S_N N_AH AH_F F_T
SNOWBALLS    S_N N_AO AO_UH UH_B B_AO AO_L L_Z
SNEEZING    S_N N_IY IY_Z Z_IH IH_NG
SNEERS    S_N N_IH IH_R R_Z
SMUGGLED    S_M M_AH AH_G G_AH AH_L L_D
SMOTHER    S_M M_AH AH_DH DH_UH UH_R
SMITING    S_M M_AH AH_T T_IH IH_NG
SMIKE    S_M M_AA AA_IY IY_K
SLINK    S_L L_IH IH_NG NG_K
SLATTER    S_L L_AE AE_T T_UH UH_R
SLAPS    S_L L_AE AE_P P_S
SLAPPING    S_L L_AE AE_P P_IH IH_NG
SLACKENING    S_L L_AE AE_K K_AH AH_N N_IH IH_NG
SKYLIGHT    S_K K_AA AA_IY IY_L L_AA AA_IY IY_T
